,prices,address,no_beds,baths,sqft,prediction,difference,deal
507,429900.0," 7545 N Octavia Ave, Chicago, IL 60631 ",3.0,2.0,1.775,942423.4,-512523.375,good deal
83,234900.0," 400 E 89th St, Chicago, IL 60619 ",3.0,2.0,1.04,743090.6,-508190.625,good deal
498,415000.0," 55 W Erie St APT 1W, Chicago, IL 60654 ",3.0,2.0,1.7,922083.4,-507083.375,good deal
127,318000.0," 5915 W Dakin St, Chicago, IL 60634 ",3.0,2.0,1.335,823094.9,-505094.875,good deal
197,800000.0," 1214 N La Salle Dr, Chicago, IL 60610 ",4.0,2.0,1.908,1303881.1,-503881.125,good deal
163,239900.0," 4750 N Elston Ave APT 203, Chicago, IL 60630 ",3.0,2.0,1.04,743090.6,-503190.625,good deal
154,29000.0," 4850 S Lake Park Ave APT 2406, Chicago, IL 60615 ",2.0,2.0,1.45,528895.6,-499895.625,good deal
523,425000.0," 1225 W Morse Ave APT 208, Chicago, IL 60626 ",3.0,2.0,1.697,921269.9,-496269.875,good deal
282,250000.0," 3793 W 78th St, Chicago, IL 60652 ",3.0,2.0,1.04,743090.6,-493090.625,good deal
432,399000.0," 519 W Surf St #1, Chicago, IL 60657 ",3.0,2.0,1.583,890352.9,-491352.875,good deal
